,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
349,laguna,90,BZ,1578337225,83,16.17,-88.94,71.6,4.23
350,bohodukhiv,75,UA,1578337225,74,50.16,35.52,30.2,6.71
351,conde,100,BR,1578337225,77,-11.81,-37.61,81.05,12.53
352,nabire,97,ID,1578337226,99,-3.36,135.5,72.79,2.35
353,phalaborwa,26,ZA,1578337226,62,-23.95,31.14,84.2,4.7
354,neiafu,20,TO,1578337226,88,-18.65,-173.98,77.0,2.24
355,cockburn town,0,AU,1578337226,68,-32.08,141.0,64.4,9.17
356,iwanai,86,JP,1578337226,93,42.97,140.51,22.64,1.68
357,portland,90,US,1578336863,58,43.66,-70.25,27.0,6.06
358,cairns,40,AU,1578337034,94,-16.92,145.77,79.0,6.93
359,fort nelson,63,IN,1578337227,78,17.96,79.61,71.74,1.57
360,wanlaweyn,33,SO,1578337227,71,2.62,44.89,80.35,18.68
361,doha,0,QA,1578337211,52,25.29,51.53,66.2,8.05
362,bethel,1,US,1578337227,68,60.79,-161.76,-18.4,10.29
363,guerrero negro,20,AR,1578337227,40,-24.19,-65.45,86.0,13.87
364,pecos,1,US,1578337112,23,31.42,-103.49,64.0,17.22
365,seoul,90,KR,1578337139,100,37.57,126.98,42.8,3.98
366,kangaatsiaq,100,GL,1578337228,99,68.31,-53.46,-1.7,17.02
367,haines junction,90,US,1578337228,69,44.91,-117.94,37.99,9.17
368,vila velha,0,IT,1578337228,100,45.18,8.4,39.0,5.82
369,adwa,79,ET,1578337228,43,14.16,38.9,66.6,6.38
370,illela,10,NG,1578337228,25,12.25,4.3,78.87,6.91
371,tocopilla,0,CL,1578337228,33,-22.09,-70.2,72.01,14.94
372,sangar,100,RU,1578337229,92,63.92,127.47,-2.02,9.98
373,san jeronimo,53,ML,1578337195,12,13.3,-4.9,75.76,7.14
374,nisia floresta,40,GR,1578337229,47,39.39,21.64,37.4,11.41
375,konstantinovskaya,74,RU,1578337229,64,44.83,40.73,34.74,5.12
376,oyama,53,JP,1578337229,86,36.31,139.8,45.0,1.99
377,dali,100,CN,1578337229,91,34.79,109.94,36.48,7.76
378,nishihara,75,JP,1578337230,56,35.74,139.53,45.0,14.99
379,sur,0,OM,1578337230,68,22.57,59.53,73.27,4.05
380,kribi,27,CM,1578337230,78,2.94,9.91,81.05,9.37
381,jalu,69,LY,1578337230,57,29.03,21.55,50.45,14.09
382,elko,1,US,1578336988,84,40.83,-115.76,34.0,2.91
